desc id,3rd level of relatedness,In the Archive
mhh.k.illbk.01,"america.e.illbk.08,america.f.illbk.08,america.i.illbk.08,america.a.illbk.08,america.b.illbk.08,america.m.illbk.08,america.o.illbk.08,america.e.illbk.14,america.f.illbk.14,america.i.illbk.14,america.a.illbk.14,america.b.illbk.14,america.m.illbk.14,america.o.illbk.14",Yes
mhh.b.illbk.21,"america.e.illbk.08,america.f.illbk.08,america.i.illbk.08,america.a.illbk.08,america.b.illbk.08,america.m.illbk.08,america.o.illbk.08,america.e.illbk.14,america.f.illbk.14,america.i.illbk.14,america.a.illbk.14,america.b.illbk.14,america.m.illbk.14,america.o.illbk.14",Yes
mhh.c.illbk.21,"america.e.illbk.08,america.f.illbk.08,america.i.illbk.08,america.a.illbk.08,america.b.illbk.08,america.m.illbk.08,america.o.illbk.08,america.e.illbk.14,america.f.illbk.14,america.i.illbk.14,america.a.illbk.14,america.b.illbk.14,america.m.illbk.14,america.o.illbk.14",Yes
mhh.h.illbk.21,"america.e.illbk.08,america.f.illbk.08,america.i.illbk.08,america.a.illbk.08,america.b.illbk.08,america.m.illbk.08,america.o.illbk.08,america.e.illbk.14,america.f.illbk.14,america.i.illbk.14,america.a.illbk.14,america.b.illbk.14,america.m.illbk.14,america.o.illbk.14",Yes
mhh.e.illbk.21,"america.e.illbk.08,america.f.illbk.08,america.i.illbk.08,america.a.illbk.08,america.b.illbk.08,america.m.illbk.08,america.o.illbk.08,america.e.illbk.14,america.f.illbk.14,america.i.illbk.14,america.a.illbk.14,america.b.illbk.14,america.m.illbk.14,america.o.illbk.14",Yes
mhh.f.illbk.21,"america.e.illbk.08,america.f.illbk.08,america.i.illbk.08,america.a.illbk.08,america.b.illbk.08,america.m.illbk.08,america.o.illbk.08,america.e.illbk.14,america.f.illbk.14,america.i.illbk.14,america.a.illbk.14,america.b.illbk.14,america.m.illbk.14,america.o.illbk.14",Yes
mhh.d.illbk.21,"america.e.illbk.08,america.f.illbk.08,america.i.illbk.08,america.a.illbk.08,america.b.illbk.08,america.m.illbk.08,america.o.illbk.08,america.e.illbk.14,america.f.illbk.14,america.i.illbk.14,america.a.illbk.14,america.b.illbk.14,america.m.illbk.14,america.o.illbk.14",Yes
mhh.g.illbk.21,"america.e.illbk.08,america.f.illbk.08,america.i.illbk.08,america.a.illbk.08,america.b.illbk.08,america.m.illbk.08,america.o.illbk.08,america.e.illbk.14,america.f.illbk.14,america.i.illbk.14,america.a.illbk.14,america.b.illbk.14,america.m.illbk.14,america.o.illbk.14",Yes
mhh.i.illbk.21,"america.e.illbk.08,america.f.illbk.08,america.i.illbk.08,america.a.illbk.08,america.b.illbk.08,america.m.illbk.08,america.o.illbk.08,america.e.illbk.14,america.f.illbk.14,america.i.illbk.14,america.a.illbk.14,america.b.illbk.14,america.m.illbk.14,america.o.illbk.14",Yes
gates-child.d.illbk.17,"america.e.illbk.14,america.f.illbk.14,america.i.illbk.14,america.a.illbk.14,america.b.illbk.14,america.m.illbk.14,america.o.illbk.14",Yes
gates-sexes.d.illbk.17,"america.e.illbk.14,america.f.illbk.14,america.i.illbk.14,america.a.illbk.14,america.b.illbk.14,america.m.illbk.14,america.o.illbk.14",Yes
