bad_id,dbi
but289.1,BUT289.1.1.CPD
lt2april1804.1,lt2april1804.1.1.LT
but518.1,BUT518.1.1.WC
lt7april1804.1,lt2april1804.1.1.LT
but318.1,BUT318.1.1.CPD
but394.1,BUT394.1.1.PT
but307.1,BUT307.1.1.CPD
but478.1,BUT478.1.1.WC
but505.1,BUT505.1.1.WC
but302.1,BUT302.1.1.CPD
songsie.a,songsie.A.P1-3
lt29july1826.1,lt29july1826.1.1.LT
lt28may1804.1,lt28may1804.1.1.LT
but317.1,BUT317.1.1.CPD
but326.1,BUT326.1.1.CPD
but325.1,BUT325.1.1.CPD
but453.1,BUT453.1.1.WC
but503.1,BUT503.1.1.WC
but470.1,BUT470.1.1.WC
inscbut455.1,BUT455.1.1-full.RM
inscbut458.1,BUT458.1.1-full.RM
inscbut505.1,BUT505.1.1-full.RM
inscbut499.1,BUT499.1.1-full.RM
inscbut466.1,BUT466.1.1-full.RM
inscbut519.1,BUT519.1.1-full.RM
suppvda.h,vda.H.P2-full.RM
relbb504.1,bb504.bm-woodengraving.5
inscbut522.1,BUT522.1.1-full.RM
but462.1,BUT462.1.1.WC
inscbut449.1,BUT449.1.1-full.RM
lt12sept1800.1,lt12sept1800.1.1.LT
but312.1,BUT312.1.1.CPD
but522.1,BUT522.1.1.WC
but446.1,BUT446.1.1.WC
ltfeb1827.1,ltfeb1827.1.1.LT
but614v.1,BUT614.1.1v.PD
but484.1,BUT484.1.1.WC
lt19may1826.1,lt19may1826.1.1.LT
but501.1,BUT501.1.1.WC
lt1april1800.1,lt1april1800.1.1.LT
but390.1,BUT390.1.1.PT
but294.1,BUT294.1.1.CPD
but321.1,BUT321.1.1.CPD
but625.1,BUT625.1.1.PD
but469.1,BUT469.1.1.WC
but515.1,BUT515.1.1.WC
but324.1,BUT324.1.1.CPD
but323.1,BUT323.1.1.CPD
but438.1,BUT438.1.1.WC
lt16july1826.1,lt16july1826.1.1.LT
but436.1,BUT436.1.1.WC
lt1827.1,lt1827.1.1.LT
lt22jan1805.1,lt22jan1805.1.1.LT
but403.1,BUT403.1.1.PT
but620.1,BUT620.1.1.WC
lt27jan1804.1,lt27jan1804.1.1.LT
but467.1,BUT467.1.1.WC
but396.1,BUT396.1.1.PT
but298.1,BUT298.1.1.CPD
lt12april1827.1,lt12april1827.1.1.LT
but611.1,BUT611.1.1.WC
lt25april1827.1,lt25april1827.1.1.LT
but525.1,BUT525.1.1.WC
but297.1,BUT297.1.1.CPD
but504.1,BUT504.1.1.WC
lt10nov1825.1,lt10nov1825.1.1.LT
lt14sept1800.1,lt14sept1800.1.1.LT
lt18feb1800.1,lt18feb1800.1.1.LT
but426.1,BUT426.1.1.PT
but621r.1,BUT621.1.1r.PD
but320.1,BUT320.1.1.CPD
but411.1,BUT411.1.1.PT
but629.1,BUT629.1.1.PD
but439.1,BUT439.1.1.WC
but498.1,BUT498.1.1.WC
but435.1,BUT435.1.1.WC
lt3july1827.1,lt3july1827.1.1.LT
inscbut439.1,BUT439.1.1-full.RM
but520.1,BUT520.1.1.WC
but472.1,BUT472.1.1.WC
but468.1,BUT468.1.1.WC
but475.1,BUT475.1.1.WC
inscbut494.1,BUT494.1.1-full.RM
lt18dec.1804.1,lt18dec.1804.1.1.LT
but292.1,BUT292.1.1.CPD
but614r.1,but614.1.1r.PD
lt21sept1800.1,lt21sept1800.1.1.LT
but420.1,BUT420.1.1.PT
but429.1,BUT429.1.1.PT
but496.1,BUT496.1.1.WC
lt7june1825.1,lt7june1825.1.1.LT
supplt7aug1804.1,lt7aug1804.1.1+2.RM
but301.1,BUT301.1.1.CPD
lt19oct1801.1,lt19oct1801.1.1.LT
supplt3july1827.1,lt3july1827.1.full-sheet.RM
inscbut521.1,BUT521.1.1-full.RM
but387.1,BUT387.1.1.PT
but410.1,BUT410.1.1.PT
lt16sept1800.1,lt16sept1800.1.1.LT
but619.1,BUT619.1.1.PD
but502.1,BUT502.1.1.WC
but295.1,BUT295.1.1.CPD
lt1aug1826.1,lt1aug1826.1.1.LT
inscbut520.1,BUT520.1.1-full.RM
but488.1,BUT488.1.1.WC
but425.1,BUT425.1.1.PT
inscbut524.1,BUT524.1.1-full.RM
lt15march1827.1,lt15march1827.1.1.LT
but517.1,BUT517.1.1.WC
but316.1,BUT316.1.1.CPD
but382.1,BUT382.1.1.PT
but624r.1,BUT624.1.1r.PD
but613.1,BUT613.1.1.WC
lt26nov1800.1,lt26nov1800.1.1.LT
but523.1,BUT523.1.1.WC
but638.1,BUT638.1.1.WC
but612.1,BUT612.1.1.WD
but480.1,BUT480.1.1.WC
but521.1,BUT521.1.1.WC
but455.1,BUT455.1.1.WC
but473.1,BUT473.1.1.WC
but440.1,BUT440.1.1.WC
esxiii.1,esxiii.1.1.SP
but442.1,BUT442.1.1.WC
relamerica.b,america.b.P1r-insc-t.RM
suppthel.n,thel.n.P1-2-full
but458.1,BUT458.1.1.WC
lt1sept1800.1,lt1sept1800.1.1.LT
but313.1,BUT313.1.1.CPD
but296.1,BUT296.1.1.CPD
